受访者 ID,年龄 ,Gender, 地区 ,答题时长(秒),Q1_整体满意度,Q2_推荐意愿,Q3_使用频率,Q4_是否购买,Q5_界面满意度,Q6_功能满意度,Q7_体验评分,Q8_性价比评分,Q9_复购意愿
R00599,18-25,女,杭州,394,满意,肯定不会,总是,是,满意,可能会,6,10,很少
R00600,56+,女,北京,538,满意,可能不会,偶尔,是,非常满意,可能会,10,7,总是
R00601,18-25,男,上海,235,满意,可能会,很少,是,满意,可能会,4,10,很少
R00602,36-45,女,杭州,118,满意,肯定会,总是,是,满意,肯定会,5,5,很少
R00603,26-35,男,广州,450,满意,不确定,偶尔,否,满意,肯定会,1,2,很少
R00604,36-45,男,上海,362,非常满意,肯定会,很少,是,非常满意,可能不会,10,1,经常
R00605,36-45,男,北京,219,非常满意,可能会,很少,是,非常满意,可能会,7,1,很少
R00606,36-45,女,深圳,445,满意,可能会,很少,否,一般,不确定,5,1,偶尔
R00607,26-35,女,广州,287,满意,可能会,经常,是,满意,不确定,6,5,经常
R00608,36-45,男,成都,308,非常满意,肯定会,偶尔,否,满意,可能不会,6,10,偶尔
R00609,18-25,女,深圳,570,一般,可能会,总是,是,不满意,可能不会,3,4,偶尔
R00610,18-25,女,上海,450,满意,可能会,经常,否,一般,可能会,3,6,经常
R00611,36-45,女,成都,556,非常满意,肯定会,经常,是,满意,肯定会,3,10,偶尔
R00612,26-35,男,上海,248,一般,可能会,经常,是,一般,肯定不会,8,10,经常
R00613,26-35,女,上海,241,一般,不确定,经常,是,非常满意,可能会,3,10,总是
R00614,26-35,女,广州,313,一般,肯定会,经常,否,一般,可能会,8,8,经常
R00615,26-35,男,北京,441,非常满意,可能会,偶尔,是,满意,肯定不会,5,10,经常
R00616,26-35,女,上海,157,一般,可能会,经常,否,满意,可能不会,3,7,从不
R00617,36-45,女,深圳,64,非常满意,不确定,从不,否,满意,肯定会,3,10,经常
R00618,26-35,男,广州,128,非常满意,不确定,经常,是,非常不满意,不确定,10,2,很少
R00619,36-45,男,北京,181,非常不满意,可能会,经常,是,非常满意,可能会,8,3,从不
R00620,26-35,女,成都,505,满意,肯定会,偶尔,是,满意,肯定会,3,5,总是
R00621,26-35,女,成都,397,满意,可能会,很少,是,一般,可能会,1,10,总是
R00622,18-25,女,成都,496,满意,肯定会,很少,否,满意,可能会,3,10,总是
R00623,18-25,女,深圳,94,满意,肯定会,偶尔,是,非常不满意,不确定,6,4,经常
R00624,18-25,男,上海,62,满意,可能会,很少,是,满意,肯定会,3,5,经常
R00625,26-35,男,深圳,66,一般,肯定会,偶尔,是,满意,不确定,2,4,偶尔
R00626,36-45,男,上海,383,非常满意,可能不会,从不,是,不满意,可能不会,8,6,很少
R00627,18-25,男,成都,489,不满意,可能会,经常,否,不满意,不确定,10,10,经常
R00628,18-25,女,深圳,132,满意,可能会,很少,是,不满意,可能会,5,5,偶尔
R00629,26-35,男,杭州,519,一般,可能会,经常,是,非常不满意,可能会,9,7,总是
R00630,36-45,男,杭州,290,一般,可能不会,总是,是,满意,不确定,2,10,很少
R00631,56+,女,北京,542,满意,肯定会,经常,否,非常满意,肯定不会,4,3,总是
R00632,26-35,女,北京,415,不满意,可能会,很少,是,满意,肯定不会,6,9,从不
R00633,26-35,男,成都,414,满意,可能不会,经常,是,非常满意,不确定,5,10,偶尔
R00634,18-25,女,广州,434,一般,可能会,总是,是,一般,不确定,1,5,从不
R00635,18-25,女,成都,311,非常满意,肯定会,经常,是,一般,可能会,1,4,经常
R00636,18-25,男,北京,213,一般,肯定会,从不,是,一般,可能会,1,4,偶尔
R00637,18-25,男,成都,468,满意,不确定,总是,否,满意,可能会,1,3,偶尔
R00638,18-25,女,北京,221,满意,不确定,总是,是,满意,可能会,4,4,经常
R00639,26-35,女,广州,410,满意,可能不会,从不,是,非常满意,不确定,1,9,总是
R00640,26-35,其他,杭州,114,满意,肯定会,偶尔,是,非常满意,可能会,1,10,很少
R00641,56+,男,北京,180,满意,可能会,经常,否,满意,肯定会,5,4,很少
R00642,26-35,男,广州,264,满意,肯定会,经常,是,不满意,可能会,9,6,经常
R00643,36-45,女,上海,411,一般,可能会,很少,是,满意,不确定,5,8,经常
R00644,18-25,男,成都,222,不满意,不确定,经常,是,非常不满意,不确定,5,6,经常
R00645,46-55,女,广州,363,满意,可能会,经常,否,满意,可能会,3,4,很少
R00646,26-35,男,成都,125,一般,可能会,经常,是,满意,可能会,7,8,经常
R00647,46-55,男,深圳,477,不满意,可能会,很少,否,满意,肯定会,6,4,总是
R00648,26-35,男,广州,201,满意,可能不会,经常,是,一般,可能会,8,1,很少
R00649,26-35,女,上海,457,满意,肯定不会,总是,是,一般,不确定,4,7,经常
R00650,26-35,女,广州,439,非常不满意,可能会,总是,是,满意,不确定,1,10,偶尔
R00651,18-25,男,上海,183,非常不满意,不确定,从不,是,不满意,可能会,4,1,很少
R00652,18-25,女,杭州,198,非常不满意,不确定,很少,是,非常满意,可能会,10,8,经常
R00653,56+,女,成都,435,一般,可能不会,经常,是,一般,肯定不会,9,7,从不
R00654,26-35,男,深圳,534,一般,肯定会,偶尔,是,一般,可能会,10,3,从不
R00655,46-55,女,深圳,352,满意,肯定会,偶尔,是,一般,可能会,2,9,从不
R00656,26-35,女,广州,183,满意,可能会,偶尔,是,一般,肯定会,5,6,偶尔
R00657,18-25,男,深圳,475,一般,不确定,经常,是,不满意,可能会,1,6,经常
R00658,36-45,女,北京,449,非常不满意,肯定会,偶尔,否,满意,不确定,7,1,偶尔
R00659,18-25,女,深圳,363,满意,可能会,经常,否,一般,可能不会,6,2,偶尔
R00660,18-25,女,上海,433,非常不满意,可能会,很少,是,一般,可能会,2,7,偶尔
R00661,26-35,男,深圳,156,一般,可能不会,经常,是,一般,可能不会,5,2,很少
R00662,26-35,男,成都,394,一般,可能会,从不,是,一般,可能会,4,2,经常
R00663,56+,女,深圳,387,满意,肯定会,偶尔,是,满意,可能不会,2,9,经常
R00664,18-25,男,上海,467,满意,可能会,偶尔,否,满意,不确定,7,2,经常
R00665,36-45,女,广州,259,非常满意,可能会,偶尔,否,满意,不确定,1,6,经常
R00666,36-45,男,杭州,110,满意,肯定会,总是,否,满意,可能会,2,9,偶尔
R00667,36-45,男,杭州,66,非常满意,可能不会,很少,是,一般,不确定,4,4,总是
R00668,18-25,女,成都,207,满意,可能会,偶尔,否,不满意,可能会,7,5,偶尔
R00669,26-35,女,杭州,250,非常满意,肯定会,偶尔,否,满意,肯定会,8,7,经常
R00670,26-35,男,北京,251,一般,可能会,总是,否,满意,可能不会,9,6,经常
R00671,26-35,男,深圳,107,不满意,可能会,从不,是,满意,肯定不会,7,10,很少
R00672,46-55,男,成都,239,满意,不确定,很少,是,满意,可能会,9,3,总是
R00673,56+,女,北京,69,满意,可能会,经常,否,一般,不确定,6,3,总是
R00674,26-35,女,广州,118,非常满意,可能会,偶尔,否,满意,可能不会,4,2,从不
R00675,36-45,男,北京,462,满意,肯定会,很少,是,满意,不确定,3,3,偶尔
R00676,36-45,女,北京,538,满意,不确定,从不,否,满意,肯定会,7,7,总是
R00677,36-45,男,杭州,549,非常不满意,肯定会,从不,是,非常不满意,不确定,1,6,经常
R00678,56+,男,上海,233,满意,肯定会,很少,是,满意,肯定不会,8,5,经常
R00679,18-25,男,上海,195,非常满意,不确定,经常,否,一般,可能会,9,3,偶尔
R00680,18-25,女,成都,490,不满意,可能会,从不,否,满意,肯定不会,1,4,经常
R00681,36-45,女,深圳,255,非常满意,可能会,偶尔,否,满意,不确定,5,7,经常
R00682,18-25,其他,上海,349,满意,不确定,经常,否,一般,可能会,4,10,经常
R00683,18-25,男,北京,556,满意,肯定会,经常,否,满意,肯定不会,10,9,偶尔
R00684,18-25,男,广州,382,非常满意,肯定不会,偶尔,否,满意,可能不会,7,7,偶尔
R00685,18-25,女,北京,190,不满意,不确定,经常,否,不满意,可能不会,9,10,经常
R00686,26-35,男,广州,136,满意,肯定会,偶尔,是,非常满意,可能不会,1,1,经常
R00687,26-35,男,深圳,246,满意,可能会,经常,否,不满意,肯定会,10,9,经常
R00688,26-35,女,上海,371,非常满意,不确定,经常,否,不满意,不确定,8,9,经常
R00689,18-25,男,深圳,125,非常满意,肯定会,经常,否,不满意,不确定,9,8,很少
R00690,36-45,男,杭州,357,不满意,可能会,偶尔,是,满意,可能会,5,10,经常
R00691,36-45,男,上海,470,一般,可能会,经常,是,非常满意,不确定,1,6,偶尔
R00692,26-35,女,成都,514,满意,可能会,经常,是,满意,可能不会,1,10,总是
R00693,36-45,女,杭州,515,一般,可能会,很少,否,非常不满意,肯定会,7,2,偶尔
R00694,56+,女,深圳,195,非常不满意,可能会,偶尔,是,一般,可能会,5,6,偶尔
R00695,36-45,女,上海,595,非常满意,不确定,经常,是,一般,肯定不会,3,5,偶尔
R00696,36-45,女,深圳,341,非常不满意,可能不会,经常,是,满意,不确定,9,3,偶尔
R00697,36-45,男,广州,118,一般,可能会,偶尔,是,不满意,肯定会,5,5,很少
R00698,56+,其他,上海,584,满意,可能会,偶尔,是,满意,可能不会,9,7,总是
R00699,26-35,女,深圳,496,非常不满意,肯定会,经常,否,非常满意,可能会,8,1,总是
R00700,26-35,男,深圳,478,一般,肯定会,偶尔,否,不满意,可能不会,7,1,很少
R00701,36-45,女,北京,400,满意,可能会,经常,是,非常满意,可能会,5,2,很少
R00702,46-55,女,北京,72,满意,可能会,从不,否,满意,肯定会,10,8,很少
R00703,46-55,其他,成都,339,一般,不确定,偶尔,是,一般,不确定,1,5,偶尔
R00704,18-25,女,上海,103,满意,可能会,经常,否,一般,肯定会,1,10,偶尔
R00705,18-25,女,上海,288,满意,可能会,总是,是,满意,可能会,3,7,从不
R00706,26-35,男,北京,316,一般,可能会,经常,是,一般,肯定不会,9,10,总是
R00707,36-45,女,成都,203,一般,不确定,经常,是,不满意,不确定,1,4,很少
R00708,26-35,女,深圳,510,满意,可能会,经常,是,满意,肯定会,2,5,很少
R00709,26-35,男,成都,495,满意,肯定会,经常,否,一般,可能会,3,10,偶尔
R00710,18-25,男,上海,592,非常满意,可能会,经常,是,满意,可能不会,4,3,总是
R00711,36-45,女,成都,499,非常不满意,可能会,经常,是,满意,不确定,8,7,经常
R00712,36-45,女,深圳,359,非常满意,不确定,经常,是,满意,不确定,3,10,很少
R00713,56+,女,上海,148,一般,肯定会,经常,否,满意,不确定,9,3,偶尔
R00714,26-35,男,成都,210,非常满意,肯定会,经常,是,一般,可能会,1,7,总是
R00715,26-35,女,杭州,301,不满意,可能会,很少,是,一般,可能会,10,1,总是
R00716,18-25,男,成都,235,一般,可能会,经常,是,满意,可能会,7,6,经常
R00717,18-25,其他,广州,518,不满意,肯定会,偶尔,是,一般,不确定,5,2,经常
R00718,26-35,男,上海,515,满意,不确定,很少,是,非常满意,肯定会,9,9,经常
R00719,26-35,男,成都,100,非常满意,可能会,偶尔,是,满意,不确定,10,1,经常
R00720,26-35,女,杭州,369,一般,肯定会,经常,否,不满意,可能会,4,9,偶尔
R00721,18-25,男,北京,584,满意,不确定,从不,是,非常不满意,不确定,2,3,很少
R00722,56+,女,成都,468,满意,不确定,总是,否,满意,可能会,6,2,偶尔
R00723,46-55,男,北京,162,一般,可能会,经常,是,一般,可能会,2,9,经常
R00724,26-35,女,北京,87,满意,可能会,总是,是,满意,肯定会,1,2,从不
R00725,56+,女,杭州,195,一般,肯定会,经常,是,满意,肯定会,4,5,总是
R00726,56+,男,上海,583,满意,肯定会,经常,否,一般,肯定不会,6,1,偶尔
R00727,36-45,男,杭州,395,满意,可能会,总是,否,非常满意,肯定会,4,6,偶尔
R00728,26-35,女,北京,516,非常不满意,可能会,很少,是,不满意,可能会,4,2,偶尔
R00729,18-25,男,深圳,408,满意,可能会,经常,是,非常满意,不确定,2,9,偶尔
R00730,36-45,女,广州,287,满意,可能会,偶尔,是,一般,可能会,4,2,总是
R00731,26-35,女,深圳,378,不满意,肯定会,总是,否,满意,可能会,4,6,总是
R00732,36-45,男,上海,263,满意,肯定会,很少,否,一般,肯定会,9,10,很少
R00733,46-55,男,深圳,98,满意,可能会,总是,否,满意,肯定会,3,4,经常
R00734,18-25,女,北京,369,非常满意,可能会,偶尔,是,一般,肯定会,10,5,从不
R00735,26-35,男,深圳,297,非常满意,可能会,总是,否,满意,肯定不会,4,3,经常
R00736,36-45,男,广州,551,一般,可能会,经常,否,一般,肯定会,6,8,经常
R00737,26-35,男,广州,224,满意,可能会,很少,是,不满意,不确定,9,4,经常
R00738,18-25,女,广州,199,满意,可能不会,经常,否,满意,可能会,4,4,很少
R00739,26-35,女,上海,152,一般,肯定会,偶尔,是,满意,不确定,4,10,偶尔
R00740,26-35,女,深圳,458,非常不满意,可能会,很少,是,一般,不确定,5,7,很少
R00741,36-45,男,深圳,185,一般,可能会,偶尔,是,不满意,可能会,5,10,很少
R00742,46-55,男,杭州,125,满意,不确定,总是,否,非常不满意,可能会,7,10,经常
R00743,26-35,女,杭州,353,非常满意,可能不会,经常,是,一般,不确定,1,10,偶尔
R00744,36-45,女,杭州,268,满意,肯定会,偶尔,否,不满意,可能会,3,9,偶尔
R00745,26-35,男,杭州,307,非常满意,肯定会,从不,是,非常满意,可能会,1,10,经常
R00746,56+,女,杭州,453,满意,不确定,经常,是,一般,不确定,10,7,总是
R00747,46-55,男,成都,483,满意,可能不会,很少,是,一般,可能不会,3,1,很少
R00748,26-35,男,杭州,191,不满意,可能会,很少,否,满意,肯定不会,4,8,总是
R00749,26-35,女,深圳,286,非常满意,可能会,经常,是,一般,不确定,2,6,很少
R00750,26-35,女,广州,371,一般,可能会,偶尔,是,不满意,可能不会,6,2,偶尔
R00751,26-35,男,成都,464,非常满意,可能会,偶尔,否,一般,肯定不会,9,7,很少
R00752,56+,女,成都,191,一般,可能不会,经常,否,满意,可能会,10,6,偶尔
R00753,26-35,男,深圳,221,满意,可能会,偶尔,否,一般,肯定不会,10,1,从不
R00754,26-35,男,广州,391,非常不满意,不确定,经常,是,满意,肯定会,5,5,总是
R00755,56+,男,广州,321,非常满意,可能会,很少,是,满意,可能会,5,8,经常
R00756,36-45,男,北京,299,不满意,肯定会,偶尔,否,满意,不确定,8,5,经常
R00757,26-35,女,广州,262,不满意,可能不会,偶尔,否,一般,可能会,10,6,很少
R00758,26-35,女,广州,197,非常满意,肯定不会,从不,是,一般,不确定,7,7,很少
R00759,18-25,女,成都,258,不满意,可能会,偶尔,是,不满意,可能会,8,4,很少
R00760,26-35,女,成都,271,满意,不确定,总是,是,一般,可能会,3,2,总是
R00761,36-45,男,上海,75,满意,可能会,经常,是,满意,不确定,9,6,偶尔
R00762,36-45,女,深圳,191,一般,可能会,从不,否,满意,肯定不会,7,10,经常
R00763,36-45,女,杭州,310,非常满意,可能会,偶尔,是,满意,可能不会,7,1,很少
R00764,18-25,男,杭州,259,不满意,肯定会,偶尔,是,满意,肯定会,1,6,总是
R00765,26-35,女,广州,201,一般,可能会,从不,否,非常不满意,不确定,1,2,偶尔
R00766,56+,女,上海,322,一般,可能会,很少,是,非常满意,不确定,4,4,经常
R00767,26-35,女,成都,591,不满意,可能不会,很少,是,非常满意,可能不会,10,3,很少
R00768,36-45,男,北京,240,非常不满意,可能会,经常,是,满意,可能会,1,2,很少
R00769,18-25,男,广州,272,一般,不确定,很少,是,一般,可能不会,3,9,偶尔
R00770,56+,女,深圳,179,满意,不确定,经常,是,满意,不确定,5,6,很少
R00771,36-45,男,北京,371,一般,可能会,经常,是,一般,可能会,3,5,经常
R00772,18-25,男,上海,500,满意,不确定,经常,否,满意,不确定,7,8,经常
R00773,18-25,女,北京,544,满意,肯定会,很少,否,满意,可能会,3,10,偶尔
R00774,26-35,男,广州,297,一般,肯定会,从不,否,非常满意,肯定会,7,6,经常
R00775,26-35,女,上海,127,一般,肯定会,偶尔,是,满意,肯定会,9,1,经常
R00776,18-25,男,杭州,486,满意,可能不会,偶尔,否,一般,不确定,10,6,很少
R00777,56+,其他,深圳,512,满意,肯定会,总是,是,满意,可能会,6,4,经常
R00778,46-55,男,北京,477,不满意,可能会,经常,是,一般,可能不会,5,4,总是
R00779,26-35,男,上海,457,满意,可能会,偶尔,是,不满意,可能会,7,4,经常
R00780,18-25,男,广州,289,一般,不确定,经常,是,一般,可能会,4,10,从不
R00781,46-55,女,北京,163,一般,可能会,偶尔,是,满意,可能会,9,2,偶尔
R00782,26-35,女,成都,422,非常满意,可能会,经常,是,非常满意,可能会,4,8,很少
R00783,36-45,女,上海,310,非常不满意,肯定会,偶尔,是,一般,可能不会,1,2,偶尔
R00784,26-35,男,深圳,493,非常满意,肯定会,总是,是,非常满意,不确定,5,10,很少
R00785,26-35,女,杭州,194,非常满意,肯定会,偶尔,是,满意,可能会,8,7,很少
R00786,46-55,男,成都,344,非常满意,可能会,总是,否,一般,可能会,6,7,很少
R00787,56+,男,杭州,255,满意,可能会,经常,是,满意,可能会,5,1,很少
R00788,18-25,男,杭州,328,满意,可能会,总是,是,满意,可能会,7,5,经常
R00789,26-35,女,杭州,150,满意,可能会,经常,是,非常满意,可能不会,6,4,经常
R00790,26-35,男,深圳,93,不满意,可能会,很少,否,满意,可能不会,4,10,经常
R00791,56+,男,广州,94,满意,可能不会,很少,是,一般,不确定,7,8,经常
R00792,26-35,男,广州,270,非常满意,不确定,经常,是,满意,可能会,5,2,经常
R00793,46-55,女,杭州,132,非常满意,可能会,很少,是,一般,可能会,2,7,从不
R00794,46-55,女,成都,349,满意,可能会,经常,是,非常不满意,可能会,3,1,很少
R00795,26-35,男,成都,487,非常满意,肯定会,偶尔,是,非常不满意,肯定会,10,10,从不
R00796,36-45,女,北京,358,不满意,肯定会,经常,是,非常满意,肯定会,5,9,偶尔
R00797,26-35,女,北京,219,非常满意,不确定,很少,是,满意,可能会,2,8,经常
R00798,56+,女,杭州,162,一般,可能会,从不,是,一般,肯定会,2,8,很少
R00799,26-35,男,北京,198,满意,可能不会,经常,否,满意,肯定会,5,8,经常
R00800,46-55,女,成都,64,一般,肯定会,经常,否,一般,可能不会,9,8,总是
R00801,26-35,女,杭州,366,一般,肯定会,总是,是,非常满意,可能不会,7,8,经常
R00802,26-35,女,北京,437,满意,不确定,偶尔,否,一般,可能会,2,1,总是
R00803,26-35,女,广州,571,一般,肯定会,经常,是,满意,肯定会,3,4,经常
R00804,56+,女,杭州,181,一般,肯定会,从不,是,非常满意,可能不会,1,7,经常
R00805,26-35,男,北京,503,非常满意,不确定,从不,是,满意,不确定,6,3,经常
R00806,18-25,女,深圳,568,满意,肯定会,从不,否,一般,可能会,2,8,经常
R00807,26-35,男,北京,342,满意,肯定会,偶尔,是,一般,可能会,10,4,总是
R00808,26-35,男,北京,91,一般,可能会,经常,否,一般,不确定,7,4,偶尔
R00809,26-35,女,深圳,576,一般,可能不会,总是,是,满意,不确定,7,7,很少
R00810,26-35,男,杭州,430,满意,肯定不会,偶尔,是,非常不满意,肯定不会,5,5,很少
R00811,26-35,女,上海,287,非常不满意,肯定会,经常,否,一般,可能不会,1,9,偶尔
R00812,26-35,男,深圳,165,非常满意,肯定不会,经常,否,一般,可能会,5,2,偶尔
R00813,18-25,男,北京,204,非常不满意,可能会,很少,否,不满意,肯定会,3,3,很少
R00814,36-45,女,杭州,211,一般,可能会,偶尔,是,一般,肯定会,9,4,偶尔
R00815,26-35,女,杭州,364,非常不满意,不确定,从不,否,一般,可能会,2,4,偶尔
R00816,18-25,女,上海,164,满意,肯定会,偶尔,是,非常满意,可能会,4,6,总是
R00817,36-45,女,成都,513,非常满意,不确定,经常,是,非常满意,肯定不会,7,5,很少
R00818,18-25,女,杭州,428,非常满意,可能会,从不,否,满意,肯定不会,9,1,总是
R00819,36-45,男,深圳,84,非常满意,可能不会,偶尔,否,非常满意,可能不会,2,10,偶尔
R00820,36-45,其他,杭州,189,满意,可能会,总是,否,一般,不确定,7,8,偶尔
R00821,46-55,女,深圳,191,满意,不确定,经常,否,非常满意,可能不会,7,4,经常
R00822,26-35,男,杭州,569,非常满意,可能会,经常,是,非常满意,不确定,10,2,经常
R00823,36-45,男,广州,159,一般,可能会,经常,否,一般,肯定会,4,7,经常
R00824,46-55,男,杭州,74,一般,不确定,偶尔,是,一般,不确定,10,5,经常
R00825,56+,女,成都,81,满意,不确定,经常,否,满意,可能会,7,10,经常
R00826,26-35,男,北京,365,一般,不确定,经常,是,非常不满意,肯定不会,1,7,偶尔
R00827,18-25,男,成都,530,一般,可能会,偶尔,是,非常不满意,不确定,3,8,偶尔
R00828,26-35,女,深圳,288,满意,可能会,偶尔,否,非常不满意,不确定,1,9,偶尔
R00829,26-35,男,成都,550,满意,可能会,很少,否,一般,不确定,8,8,总是
R00830,46-55,女,北京,244,一般,肯定会,从不,是,不满意,可能会,5,3,很少
R00831,46-55,女,广州,584,非常不满意,肯定不会,从不,否,一般,可能会,6,4,总是
R00832,26-35,男,上海,467,满意,不确定,偶尔,是,满意,可能会,1,7,很少
R00833,26-35,男,上海,570,满意,可能会,很少,是,一般,可能不会,4,4,经常
R00834,26-35,女,深圳,406,满意,不确定,很少,是,不满意,可能会,3,9,偶尔
R00835,36-45,男,上海,107,一般,肯定会,很少,是,不满意,肯定会,10,10,很少
R00836,26-35,女,成都,221,不满意,不确定,很少,是,不满意,不确定,7,8,偶尔
R00837,36-45,女,杭州,241,非常满意,可能会,很少,是,一般,可能会,8,1,偶尔
R00838,18-25,女,北京,189,非常满意,肯定会,总是,是,一般,可能不会,1,5,偶尔
R00839,26-35,男,上海,426,非常不满意,不确定,偶尔,否,非常不满意,可能会,4,4,偶尔
R00840,56+,男,广州,291,满意,可能会,经常,是,满意,可能不会,10,6,偶尔
R00841,26-35,男,广州,445,不满意,肯定会,偶尔,否,一般,不确定,9,6,偶尔
R00842,36-45,女,深圳,376,非常不满意,可能会,总是,否,不满意,肯定不会,6,4,很少
R00843,36-45,男,成都,299,不满意,可能会,经常,是,满意,可能会,5,6,偶尔
R00844,46-55,男,深圳,511,满意,肯定会,偶尔,否,不满意,不确定,6,4,经常
R00845,46-55,女,广州,166,非常满意,可能会,总是,是,一般,不确定,1,6,很少
R00846,46-55,其他,北京,542,满意,肯定会,从不,是,满意,可能会,6,8,偶尔
R00847,26-35,女,北京,476,满意,肯定会,经常,是,一般,可能会,7,8,经常
R00848,26-35,男,成都,512,非常不满意,可能会,偶尔,是,一般,可能不会,4,8,很少
R00849,36-45,男,上海,424,满意,可能不会,很少,否,满意,不确定,9,6,偶尔
R00850,36-45,男,深圳,569,不满意,不确定,很少,是,非常不满意,肯定不会,4,8,经常
R00851,46-55,男,杭州,311,满意,可能会,总是,是,一般,可能会,4,3,偶尔
R00852,18-25,女,成都,412,满意,可能会,总是,是,一般,肯定会,9,5,很少
R00853,18-25,女,成都,266,非常满意,可能会,偶尔,是,非常满意,肯定会,9,3,从不
R00854,36-45,男,上海,160,满意,可能会,从不,是,一般,可能会,7,5,很少
R00855,56+,其他,广州,515,非常满意,肯定会,总是,是,满意,不确定,5,6,总是
R00856,56+,女,北京,285,非常满意,肯定会,偶尔,否,满意,不确定,7,10,偶尔
R00857,36-45,女,成都,480,一般,可能会,偶尔,是,不满意,可能会,10,5,经常
R00858,26-35,女,上海,183,非常不满意,可能会,很少,是,一般,可能不会,10,7,偶尔
R00859,18-25,男,杭州,401,非常满意,可能不会,经常,否,满意,可能会,7,8,很少
R00860,36-45,男,深圳,296,满意,可能会,经常,是,一般,可能会,5,3,很少
R00861,46-55,男,杭州,172,一般,肯定会,经常,否,不满意,可能会,5,8,偶尔
R00862,26-35,男,上海,66,一般,不确定,偶尔,是,非常满意,可能不会,2,9,偶尔
R00863,36-45,男,成都,113,满意,不确定,经常,是,不满意,不确定,3,4,很少
R00864,46-55,男,北京,219,满意,肯定会,经常,是,非常不满意,肯定会,8,7,经常
R00865,18-25,男,北京,515,非常不满意,不确定,经常,否,满意,可能会,9,7,很少
R00866,36-45,女,成都,175,不满意,可能不会,经常,是,满意,可能会,9,5,偶尔
R00867,26-35,男,上海,334,不满意,肯定会,经常,否,一般,肯定会,4,7,经常
R00868,26-35,男,北京,450,非常不满意,肯定会,很少,否,满意,不确定,2,4,偶尔
R00869,18-25,男,上海,403,满意,不确定,总是,否,非常满意,可能会,1,9,总是
R00870,26-35,男,上海,489,一般,可能会,从不,否,不满意,可能会,2,10,总是
R00871,26-35,女,上海,443,非常不满意,可能会,总是,是,不满意,不确定,7,2,偶尔
R00872,36-45,男,杭州,121,满意,肯定不会,总是,否,满意,可能会,1,5,偶尔
R00873,18-25,男,上海,129,不满意,可能不会,很少,是,一般,可能会,2,4,经常
R00874,18-25,女,上海,255,满意,可能会,偶尔,否,一般,不确定,6,9,从不
R00875,46-55,男,成都,103,满意,肯定不会,总是,是,一般,不确定,2,8,经常
R00876,36-45,女,上海,521,满意,肯定不会,总是,否,不满意,不确定,2,7,总是
R00877,18-25,男,广州,599,满意,可能会,很少,否,一般,可能不会,9,7,偶尔
R00878,46-55,男,深圳,589,非常满意,可能不会,经常,是,满意,不确定,10,9,很少
R00879,18-25,男,广州,263,一般,可能不会,总是,否,非常满意,不确定,9,4,偶尔
R00880,26-35,男,深圳,321,一般,可能会,经常,是,一般,可能不会,6,4,偶尔
R00881,26-35,女,广州,305,非常满意,可能会,经常,否,不满意,可能不会,7,3,很少
R00882,26-35,其他,深圳,553,一般,肯定不会,经常,是,一般,不确定,9,8,经常
R00883,18-25,男,成都,273,非常不满意,肯定会,很少,是,满意,可能不会,8,3,偶尔
R00884,46-55,女,北京,453,满意,可能会,经常,是,非常不满意,不确定,1,3,偶尔
R00885,46-55,男,杭州,590,一般,不确定,很少,是,满意,不确定,4,1,偶尔
R00886,36-45,男,广州,543,不满意,可能会,从不,是,满意,可能会,3,8,经常
R00887,18-25,女,深圳,540,满意,可能会,经常,是,满意,不确定,6,3,经常
R00888,26-35,其他,上海,552,满意,肯定会,很少,否,非常不满意,不确定,2,3,很少
R00889,26-35,女,成都,204,满意,不确定,很少,否,一般,肯定会,1,6,经常
R00890,26-35,男,广州,555,非常满意,可能会,偶尔,是,满意,可能会,7,2,经常
R00891,36-45,女,成都,546,不满意,可能会,经常,是,一般,可能会,7,5,从不
R00892,26-35,女,成都,446,满意,不确定,偶尔,是,非常不满意,可能会,3,3,总是
R00893,26-35,男,上海,348,非常满意,肯定会,偶尔,否,不满意,不确定,4,3,很少
R00894,46-55,女,成都,150,满意,肯定会,很少,否,非常不满意,肯定不会,5,8,经常
R00895,18-25,女,深圳,491,不满意,可能不会,偶尔,否,不满意,肯定会,6,1,经常
R00896,26-35,女,成都,158,非常不满意,可能会,经常,是,非常不满意,可能会,3,7,偶尔
R00897,26-35,男,成都,273,满意,肯定会,总是,是,非常满意,肯定会,4,4,偶尔
R00898,18-25,女,北京,579,满意,不确定,偶尔,是,不满意,不确定,7,8,经常
R00899,26-35,男,成都,318,一般,肯定会,经常,否,非常满意,不确定,5,4,经常
R00900,26-35,男,上海,83,非常满意,可能不会,总是,是,不满意,可能会,7,6,很少
R00901,56+,女,广州,590,不满意,可能会,偶尔,否,满意,可能不会,8,3,偶尔
R00902,26-35,男,北京,100,非常满意,可能会,经常,否,非常不满意,不确定,1,2,偶尔
R00903,56+,男,北京,446,满意,不确定,经常,是,一般,可能不会,3,8,总是
R00904,36-45,男,深圳,470,非常满意,不确定,从不,否,满意,肯定会,6,7,经常
R00905,26-35,女,上海,282,一般,可能会,经常,是,非常不满意,肯定会,1,1,经常
R00906,26-35,女,北京,598,非常满意,可能会,从不,是,不满意,肯定不会,5,9,总是
R00907,36-45,男,深圳,237,满意,肯定会,很少,否,一般,不确定,10,3,经常
R00908,36-45,女,广州,111,满意,不确定,总是,否,满意,不确定,2,4,经常
R00909,18-25,男,广州,463,一般,肯定会,从不,否,不满意,肯定会,7,9,很少
